date,fund,asset,weight,asset_class,sector,method,sentiment_tilt
2021-02-01,Sentiment Tilt Equal Weight,COP,0.009774966687147196,Equity,Energy,equal_weight,True
2021-02-01,Sentiment Tilt Equal Weight,CVX,0.009774966687147196,Equity,Energy,equal_weight,True
2021-02-01,Sentiment Tilt Equal Weight,OXY,0.009774966687147196,Equity,Energy,equal_weight,True
2021-02-01,Sentiment Tilt Equal Weight,SLB,0.009774966687147196,Equity,Energy,equal_weight,True
2021-02-01,Sentiment Tilt Equal Weight,XOM,0.009774966687147196,Equity,Energy,equal_weight,True
2021-02-01,Sentiment Tilt Equal Weight,GS,0.022809688112918846,Equity,Financials,equal_weight,True
2021-02-01,Sentiment Tilt Equal Weight,MS,0.022809688112918846,Equity,Financials,equal_weight,True
2021-02-01,Sentiment Tilt Equal Weight,USB,0.022809688112918846,Equity,Financials,equal_weight,True
2021-02-01,Sentiment Tilt Equal Weight,V,0.022809688112918846,Equity,Financials,equal_weight,True
2021-02-01,Sentiment Tilt Equal Weight,WFC,0.022809688112918846,Equity,Financials,equal_weight,True
2021-02-01,Sentiment Tilt Equal Weight,ABBV,0.01357421718335691,Equity,Healthcare,equal_weight,True
2021-02-01,Sentiment Tilt Equal Weight,ABT,0.01357421718335691,Equity,Healthcare,equal_weight,True
2021-02-01,Sentiment Tilt Equal Weight,AMGN,0.01357421718335691,Equity,Healthcare,equal_weight,True
2021-02-01,Sentiment Tilt Equal Weight,GILD,0.01357421718335691,Equity,Healthcare,equal_weight,True
2021-02-01,Sentiment Tilt Equal Weight,MRK,0.01357421718335691,Equity,Healthcare,equal_weight,True
2021-02-01,Sentiment Tilt Equal Weight,BA,0.02469747434599537,Equity,Industrials,equal_weight,True
2021-02-01,Sentiment Tilt Equal Weight,CAT,0.02469747434599537,Equity,Industrials,equal_weight,True
2021-02-01,Sentiment Tilt Equal Weight,GE,0.02469747434599537,Equity,Industrials,equal_weight,True
2021-02-01,Sentiment Tilt Equal Weight,MMM,0.02469747434599537,Equity,Industrials,equal_weight,True
2021-02-01,Sentiment Tilt Equal Weight,UPS,0.02469747434599537,Equity,Industrials,equal_weight,True
2021-02-01,Sentiment Tilt Equal Weight,DD,0.020907591292890892,Equity,Materials,equal_weight,True
2021-02-01,Sentiment Tilt Equal Weight,DOW,0.020907591292890892,Equity,Materials,equal_weight,True
2021-02-01,Sentiment Tilt Equal Weight,NEM,0.020907591292890892,Equity,Materials,equal_weight,True
2021-02-01,Sentiment Tilt Equal Weight,NUE,0.020907591292890892,Equity,Materials,equal_weight,True
2021-02-01,Sentiment Tilt Equal Weight,SHW,0.020907591292890892,Equity,Materials,equal_weight,True
2021-02-01,Sentiment Tilt Equal Weight,AMT,0.016178732339612294,Equity,RealEstate,equal_weight,True
2021-02-01,Sentiment Tilt Equal Weight,CCI,0.016178732339612294,Equity,RealEstate,equal_weight,True
2021-02-01,Sentiment Tilt Equal Weight,O,0.016178732339612294,Equity,RealEstate,equal_weight,True
2021-02-01,Sentiment Tilt Equal Weight,PLD,0.016178732339612294,Equity,RealEstate,equal_weight,True
2021-02-01,Sentiment Tilt Equal Weight,PSA,0.016178732339612294,Equity,RealEstate,equal_weight,True
2021-02-01,Sentiment Tilt Equal Weight,ADBE,0.022901294916968806,Equity,Tech,equal_weight,True
2021-02-01,Sentiment Tilt Equal Weight,AMD,0.022901294916968806,Equity,Tech,equal_weight,True
2021-02-01,Sentiment Tilt Equal Weight,INTC,0.022901294916968806,Equity,Tech,equal_weight,True
2021-02-01,Sentiment Tilt Equal Weight,NVDA,0.022901294916968806,Equity,Tech,equal_weight,True
2021-02-01,Sentiment Tilt Equal Weight,QCOM,0.022901294916968806,Equity,Tech,equal_weight,True
2021-02-01,Sentiment Tilt Equal Weight,AEP,0.023217972712898993,Equity,Utilities,equal_weight,True
2021-02-01,Sentiment Tilt Equal Weight,D,0.023217972712898993,Equity,Utilities,equal_weight,True
2021-02-01,Sentiment Tilt Equal Weight,DUK,0.023217972712898993,Equity,Utilities,equal_weight,True
2021-02-01,Sentiment Tilt Equal Weight,NEE,0.023217972712898993,Equity,Utilities,equal_weight,True
2021-02-01,Sentiment Tilt Equal Weight,SO,0.023217972712898993,Equity,Utilities,equal_weight,True
2021-03-01,Sentiment Tilt Equal Weight,CMCSA,0.02435967071391175,Equity,Comm,equal_weight,True
2021-03-01,Sentiment Tilt Equal Weight,EA,0.02435967071391175,Equity,Comm,equal_weight,True
2021-03-01,Sentiment Tilt Equal Weight,T,0.02435967071391175,Equity,Comm,equal_weight,True
2021-03-01,Sentiment Tilt Equal Weight,TMUS,0.02435967071391175,Equity,Comm,equal_weight,True
2021-03-01,Sentiment Tilt Equal Weight,TTWO,0.02435967071391175,Equity,Comm,equal_weight,True
2021-03-01,Sentiment Tilt Equal Weight,DIS,0.029862929349884375,Equity,Consumer,equal_weight,True
2021-03-01,Sentiment Tilt Equal Weight,KO,0.029862929349884375,Equity,Consumer,equal_weight,True
2021-03-01,Sentiment Tilt Equal Weight,NKE,0.029862929349884375,Equity,Consumer,equal_weight,True
2021-03-01,Sentiment Tilt Equal Weight,SBUX,0.029862929349884375,Equity,Consumer,equal_weight,True
2021-03-01,Sentiment Tilt Equal Weight,WMT,0.029862929349884375,Equity,Consumer,equal_weight,True
2021-03-01,Sentiment Tilt Equal Weight,COP,0.0165960986928952,Equity,Energy,equal_weight,True
2021-03-01,Sentiment Tilt Equal Weight,CVX,0.0165960986928952,Equity,Energy,equal_weight,True
2021-03-01,Sentiment Tilt Equal Weight,OXY,0.0165960986928952,Equity,Energy,equal_weight,True
2021-03-01,Sentiment Tilt Equal Weight,SLB,0.0165960986928952,Equity,Energy,equal_weight,True
2021-03-01,Sentiment Tilt Equal Weight,XOM,0.0165960986928952,Equity,Energy,equal_weight,True
2021-03-01,Sentiment Tilt Equal Weight,GS,0.021062568397576698,Equity,Financials,equal_weight,True
2021-03-01,Sentiment Tilt Equal Weight,MS,0.021062568397576698,Equity,Financials,equal_weight,True
2021-03-01,Sentiment Tilt Equal Weight,USB,0.021062568397576698,Equity,Financials,equal_weight,True
2021-03-01,Sentiment Tilt Equal Weight,V,0.021062568397576698,Equity,Financials,equal_weight,True
2021-03-01,Sentiment Tilt Equal Weight,WFC,0.021062568397576698,Equity,Financials,equal_weight,True
2021-03-01,Sentiment Tilt Equal Weight,ABBV,0.009954309783294792,Equity,Healthcare,equal_weight,True
2021-03-01,Sentiment Tilt Equal Weight,ABT,0.009954309783294792,Equity,Healthcare,equal_weight,True
2021-03-01,Sentiment Tilt Equal Weight,AMGN,0.009954309783294792,Equity,Healthcare,equal_weight,True
2021-03-01,Sentiment Tilt Equal Weight,GILD,0.009954309783294792,Equity,Healthcare,equal_weight,True
2021-03-01,Sentiment Tilt Equal Weight,MRK,0.009954309783294792,Equity,Healthcare,equal_weight,True
2021-03-01,Sentiment Tilt Equal Weight,BA,0.018117256159977033,Equity,Industrials,equal_weight,True
2021-03-01,Sentiment Tilt Equal Weight,CAT,0.018117256159977033,Equity,Industrials,equal_weight,True
2021-03-01,Sentiment Tilt Equal Weight,GE,0.018117256159977033,Equity,Industrials,equal_weight,True
2021-03-01,Sentiment Tilt Equal Weight,MMM,0.018117256159977033,Equity,Industrials,equal_weight,True
2021-03-01,Sentiment Tilt Equal Weight,UPS,0.018117256159977033,Equity,Industrials,equal_weight,True
2021-03-01,Sentiment Tilt Equal Weight,DD,0.02072858548314333,Equity,Materials,equal_weight,True
2021-03-01,Sentiment Tilt Equal Weight,DOW,0.02072858548314333,Equity,Materials,equal_weight,True
2021-03-01,Sentiment Tilt Equal Weight,NEM,0.02072858548314333,Equity,Materials,equal_weight,True
2021-03-01,Sentiment Tilt Equal Weight,NUE,0.02072858548314333,Equity,Materials,equal_weight,True
2021-03-01,Sentiment Tilt Equal Weight,SHW,0.02072858548314333,Equity,Materials,equal_weight,True
2021-03-01,Sentiment Tilt Equal Weight,AMT,0.024318200633660622,Equity,RealEstate,equal_weight,True
2021-03-01,Sentiment Tilt Equal Weight,CCI,0.024318200633660622,Equity,RealEstate,equal_weight,True
2021-03-01,Sentiment Tilt Equal Weight,O,0.024318200633660622,Equity,RealEstate,equal_weight,True
2021-03-01,Sentiment Tilt Equal Weight,PLD,0.024318200633660622,Equity,RealEstate,equal_weight,True
2021-03-01,Sentiment Tilt Equal Weight,PSA,0.024318200633660622,Equity,RealEstate,equal_weight,True
2021-03-01,Sentiment Tilt Equal Weight,ADBE,0.022804286642092202,Equity,Tech,equal_weight,True
2021-03-01,Sentiment Tilt Equal Weight,AMD,0.022804286642092202,Equity,Tech,equal_weight,True
2021-03-01,Sentiment Tilt Equal Weight,INTC,0.022804286642092202,Equity,Tech,equal_weight,True
2021-03-01,Sentiment Tilt Equal Weight,NVDA,0.022804286642092202,Equity,Tech,equal_weight,True
2021-03-01,Sentiment Tilt Equal Weight,QCOM,0.022804286642092202,Equity,Tech,equal_weight,True
2021-03-01,Sentiment Tilt Equal Weight,AEP,0.012196094143564009,Equity,Utilities,equal_weight,True
2021-03-01,Sentiment Tilt Equal Weight,D,0.012196094143564009,Equity,Utilities,equal_weight,True
2021-03-01,Sentiment Tilt Equal Weight,DUK,0.012196094143564009,Equity,Utilities,equal_weight,True
2021-03-01,Sentiment Tilt Equal Weight,NEE,0.012196094143564009,Equity,Utilities,equal_weight,True
2021-03-01,Sentiment Tilt Equal Weight,SO,0.012196094143564009,Equity,Utilities,equal_weight,True
2021-04-01,Sentiment Tilt Equal Weight,CMCSA,0.011375558323126993,Equity,Comm,equal_weight,True
2021-04-01,Sentiment Tilt Equal Weight,EA,0.011375558323126993,Equity,Comm,equal_weight,True
2021-04-01,Sentiment Tilt Equal Weight,T,0.011375558323126993,Equity,Comm,equal_weight,True
2021-04-01,Sentiment Tilt Equal Weight,TMUS,0.011375558323126993,Equity,Comm,equal_weight,True
2021-04-01,Sentiment Tilt Equal Weight,TTWO,0.011375558323126993,Equity,Comm,equal_weight,True
2021-04-01,Sentiment Tilt Equal Weight,DIS,0.027627134491888288,Equity,Consumer,equal_weight,True
2021-04-01,Sentiment Tilt Equal Weight,KO,0.027627134491888288,Equity,Consumer,equal_weight,True
2021-04-01,Sentiment Tilt Equal Weight,NKE,0.027627134491888288,Equity,Consumer,equal_weight,True
2021-04-01,Sentiment Tilt Equal Weight,SBUX,0.027627134491888288,Equity,Consumer,equal_weight,True
2021-04-01,Sentiment Tilt Equal Weight,WMT,0.027627134491888288,Equity,Consumer,equal_weight,True
2021-04-01,Sentiment Tilt Equal Weight,COP,0.030397196816628686,Equity,Energy,equal_weight,True
2021-04-01,Sentiment Tilt Equal Weight,CVX,0.030397196816628686,Equity,Energy,equal_weight,True
2021-04-01,Sentiment Tilt Equal Weight,OXY,0.030397196816628686,Equity,Energy,equal_weight,True
2021-04-01,Sentiment Tilt Equal Weight,SLB,0.030397196816628686,Equity,Energy,equal_weight,True
2021-04-01,Sentiment Tilt Equal Weight,XOM,0.030397196816628686,Equity,Energy,equal_weight,True
2021-04-01,Sentiment Tilt Equal Weight,GS,0.01939831198940802,Equity,Financials,equal_weight,True
2021-04-01,Sentiment Tilt Equal Weight,MS,0.01939831198940802,Equity,Financials,equal_weight,True
2021-04-01,Sentiment Tilt Equal Weight,USB,0.01939831198940802,Equity,Financials,equal_weight,True
