date,ticker,sector,headline_count,base_compound,neg,neu,pos,compound,sentiment_score_0_100,sentiment_label,finance_lexicon_effect
2020-01-02,EA,Comm,3,0.0,0.0,1.0,0.0,0.0,50.0,neutral,0.0
2020-01-02,T,Comm,5,0.2768,0.0,0.841,0.15899999999999997,0.2768,63.839999999999996,positive,0.0
2020-01-02,TMUS,Comm,2,0.1591,0.0,0.9135,0.0865,0.1591,57.955,positive,0.0
2020-01-02,TTWO,Comm,1,0.0,0.0,1.0,0.0,0.0,50.0,neutral,0.0
2020-01-02,DIS,Consumer,7,0.05871428571428572,0.06471428571428571,0.8675714285714287,0.06771428571428571,0.05871428571428572,52.93571428571428,positive,0.0
2020-01-02,KO,Consumer,4,-0.0702,0.03775,0.96225,0.0,-0.0702,46.489999999999995,negative,0.0
2020-01-02,NKE,Consumer,4,-0.105375,0.0715,0.9285,0.0,-0.105375,44.73125,negative,0.0
2020-01-02,SBUX,Consumer,3,-0.26776666666666665,0.17699999999999996,0.823,0.0,-0.26776666666666665,36.611666666666665,negative,0.0
2020-01-02,WMT,Consumer,4,0.039900000000000005,0.03775,0.8887499999999999,0.0735,0.020100000000000007,51.005,neutral,-0.019799999999999998
2020-01-02,COP,Energy,1,0.2732,0.0,0.851,0.149,0.2732,63.660000000000004,positive,0.0
2020-01-02,CVX,Energy,2,0.1366,0.0,0.9255,0.0745,0.1366,56.830000000000005,positive,0.0
2020-01-02,OXY,Energy,6,0.3428333333333333,0.0,0.832,0.168,0.3428333333333333,67.14166666666667,positive,0.0
2020-01-02,SLB,Energy,4,0.0683,0.0,0.96275,0.03725,0.0683,53.415,positive,0.0
2020-01-02,XOM,Energy,8,0.141375,0.02425,0.863375,0.11225,0.141375,57.06875,positive,0.0
2020-01-02,GS,Financials,1,0.0,0.0,1.0,0.0,0.0,50.0,neutral,0.0
2020-01-02,MS,Financials,1,0.0,0.0,1.0,0.0,0.0,50.0,neutral,0.0
2020-01-02,USB,Financials,2,0.0,0.0,1.0,0.0,0.0,50.0,neutral,0.0
2020-01-02,V,Financials,3,0.3862666666666667,0.0,0.592,0.408,0.5392,76.96000000000001,positive,0.1529333333333333
2020-01-02,WFC,Financials,5,0.14966,0.046200000000000005,0.8283999999999999,0.1254,0.049659999999999996,52.483000000000004,neutral,-0.09999999999999999
2020-01-02,ABBV,Healthcare,3,0.1468,0.0,0.8776666666666667,0.12233333333333334,0.1468,57.34,positive,0.0
2020-01-02,ABT,Healthcare,4,0.3243,0.0,0.83,0.16999999999999998,0.3243,66.215,positive,0.0
2020-01-02,AMGN,Healthcare,7,0.17748571428571427,0.038,0.8077142857142857,0.1542857142857143,0.17748571428571427,58.87428571428571,positive,0.0
2020-01-02,GILD,Healthcare,3,0.11333333333333334,0.0,0.9296666666666668,0.07033333333333333,0.11333333333333334,55.666666666666664,positive,0.0
2020-01-02,MRK,Healthcare,6,0.31553333333333333,0.009166666666666667,0.8036666666666666,0.18716666666666668,0.31553333333333333,65.77666666666666,positive,0.0
2020-01-02,BA,Industrials,5,0.059199999999999996,0.0,0.9464,0.0536,0.059199999999999996,52.959999999999994,positive,0.0
2020-01-02,CAT,Industrials,1,0.3612,0.0,0.8,0.2,0.3612,68.06,positive,0.0
2020-01-02,GE,Industrials,4,0.0,0.0,1.0,0.0,0.0,50.0,neutral,0.0
2020-01-02,MMM,Industrials,2,0.0,0.0,1.0,0.0,0.0,50.0,neutral,0.0
2020-01-02,UPS,Industrials,1,0.0,0.0,1.0,0.0,0.0,50.0,neutral,0.0
2020-01-02,DD,Materials,2,0.2628,0.0,0.863,0.137,0.2628,63.13999999999999,positive,0.0
2020-01-02,DOW,Materials,3,0.0,0.0,1.0,0.0,0.0,50.0,neutral,0.0
2020-01-02,NEM,Materials,2,0.28595,0.0,0.827,0.173,0.28595,64.2975,positive,0.0
2020-01-02,AMT,RealEstate,2,0.03620000000000001,0.143,0.7735,0.0835,0.03620000000000001,51.81,neutral,0.0
2020-01-02,O,RealEstate,1,0.0,0.0,1.0,0.0,0.0,50.0,neutral,0.0
2020-01-02,AMD,Tech,13,0.17636153846153846,0.0,0.9291538461538462,0.07084615384615385,0.17636153846153846,58.81807692307692,positive,0.0
2020-01-02,INTC,Tech,5,0.20246,0.0,0.8972,0.1028,0.20246,60.123000000000005,positive,0.0
2020-01-02,NVDA,Tech,1,0.0,0.0,1.0,0.0,0.0,50.0,neutral,0.0
2020-01-02,QCOM,Tech,6,-0.07086666666666668,0.035,0.9175,0.047499999999999994,-0.07086666666666668,46.45666666666667,negative,0.0
2020-01-02,NEE,Utilities,1,0.6369,0.0,0.656,0.344,0.6369,81.845,positive,0.0
2020-01-03,CMCSA,Comm,1,0.0,0.0,1.0,0.0,0.0,50.0,neutral,0.0
2020-01-03,T,Comm,2,0.27115,0.0,0.8335,0.1665,0.27115,63.5575,positive,0.0
2020-01-03,DIS,Consumer,4,0.0,0.0,1.0,0.0,0.0,50.0,neutral,0.0
2020-01-03,KO,Consumer,1,-0.7906,0.4,0.6,0.0,-0.7906,10.470000000000002,negative,0.0
2020-01-03,NKE,Consumer,2,-0.148,0.1195,0.8805000000000001,0.0,-0.148,42.6,negative,0.0
2020-01-03,WMT,Consumer,3,0.06743333333333333,0.0,0.923,0.077,0.06743333333333333,53.37166666666666,positive,0.0
2020-01-03,COP,Energy,2,-0.23870000000000002,0.0905,0.7865,0.123,-0.23870000000000002,38.065,negative,0.0
2020-01-03,CVX,Energy,4,-0.055175,0.111,0.849,0.04,-0.055175,47.24125,negative,0.0
2020-01-03,OXY,Energy,5,-0.19426000000000002,0.125,0.8116,0.0634,-0.19426000000000002,40.287,negative,0.0
2020-01-03,SLB,Energy,6,0.10085,0.030166666666666665,0.7993333333333332,0.17049999999999998,0.10085,55.0425,positive,0.0
2020-01-03,XOM,Energy,11,0.15633636363636363,0.029454545454545452,0.8428181818181819,0.12772727272727272,0.15633636363636363,57.816818181818185,positive,0.0
2020-01-03,MS,Financials,2,0.3548,0.0,0.898,0.102,0.3548,67.74,positive,0.0
2020-01-03,V,Financials,4,-0.102525,0.11375,0.8285,0.05775,-0.102525,44.87375,negative,0.0
2020-01-03,WFC,Financials,2,0.0,0.0,1.0,0.0,0.0,50.0,neutral,0.0
2020-01-03,GILD,Healthcare,4,0.198575,0.0,0.858,0.14200000000000002,0.198575,59.928749999999994,positive,0.0
2020-01-03,MRK,Healthcare,2,0.2202,0.0,0.6975,0.3025,0.40080000000000005,70.04,positive,0.18060000000000004
