annual_return,annual_volatility,estimation_end,window_observations
0.06218786399618726,0.10010019916548224,2023-12-01,252
0.09517142046896293,0.10045144107869665,2023-12-01,252
0.1281549769417326,0.10150544796418158,2023-12-01,252
0.16113853341452056,0.10330155812469156,2023-12-01,252
0.19412208988724458,0.10586667015972616,2023-12-01,252
0.22710564636001343,0.10917108853667143,2023-12-01,252
0.26008920283278786,0.11315191260969278,2023-12-01,252
0.2930727593055294,0.1177849980032815,2023-12-01,252
0.32605631577831967,0.12300161711559753,2023-12-01,252
0.3590398722510564,0.12873146902999605,2023-12-01,252
0.3920234287237562,0.1349293608101436,2023-12-01,252
0.4250069851965886,0.14169609556315255,2023-12-01,252
0.4579905416693913,0.1490029966697632,2023-12-01,252
0.49097409814205356,0.1568136972985422,2023-12-01,252
0.5239576546146567,0.16509742984163236,2023-12-01,252
0.5569412110877239,0.17378913260001197,2023-12-01,252
0.5899247675603378,0.18283455829546036,2023-12-01,252
0.6229083240332223,0.19218402101108475,2023-12-01,252
0.6558918805059749,0.20179757412059796,2023-12-01,252
0.6888754369787483,0.21190523625613272,2023-12-01,252
0.7218589934515073,0.2230624317794897,2023-12-01,252
0.7548425499241898,0.23524066563633536,2023-12-01,252
0.7878261063969505,0.2532426638743223,2023-12-01,252
0.820809662869744,0.3200201575955448,2023-12-01,252
