sector,mean_sentiment,mean_sentiment_score,sentiment_volatility,mean_coverage_rate,total_headlines,mean_finance_lexicon_effect
Utilities,0.11221971806626892,55.61098590331345,0.09816804157136169,0.5928429423459244,6319,0.007797378155565382
Tech,0.11014826820808465,55.50741341040423,0.09313887414470116,0.8646123260437375,26632,0.007793788928114696
Energy,0.10045822349655761,55.02291117482788,0.1035172233646878,0.8441351888667993,19365,0.006070961938688323
Consumer,0.10035412529151352,55.01770626457567,0.07824564367688863,0.9391650099403578,25877,0.006077390535432473
Healthcare,0.10024052424949753,55.01202621247488,0.09756012350662938,0.8357852882703778,14697,0.009434289402406839
Financials,0.09026752664918926,54.51337633245946,0.09734730675267335,0.8749502982107357,18269,0.005597427272467568
Industrials,0.083915435846229,54.19577179231145,0.08581480902335734,0.7518886679920477,13156,0.004056166779213404
Comm,0.08259728404188171,54.12986420209408,0.09133038422254774,0.7566600397614315,11783,0.0066833602163116216
RealEstate,0.0811979289088976,54.05989644544488,0.09421656425042953,0.5558648111332009,5339,0.0063585778734188275
Materials,0.05790621611220871,52.895310805610436,0.07370710912369344,0.5312127236580517,5393,0.006441268611383159
