fund,start_date,end_date,observations,periods_per_year,annual_return,annual_volatility,sharpe_ratio,sortino_ratio,var_95,cvar_95,max_drawdown,total_return
Equity Tangency,2021-01-04,2023-12-29,753.0,252.0,0.07258421890738043,0.17607240490475204,0.48615619271520044,0.6790542235328101,0.01737028064455642,0.025091453095158114,-0.23198034782757782,0.23291157497114656
Sentiment Tilt Equity,2021-01-04,2023-12-29,753.0,252.0,0.06103061785973107,0.17689868229642658,0.42345394386654733,0.5906675301058106,0.01757825625116105,0.0251602939764951,-0.24800790296813158,0.1936512700389459
Tilt minus base,,,,,-0.011553601047649353,0.0008262773916745403,-0.06270224884865311,-0.08838669342699945,0.00020797560660463024,6.88408813369866e-05,-0.016027555140553762,-0.039260304932200674
