fund,annual_return,annual_volatility
Combined Equal Weight,0.13562861871764512,0.15015392137178568
Combined Min Vol,0.062189565013149234,0.10010019982257314
Combined Risk Parity,0.09661476065666978,0.12581984616643183
Combined Tangency,0.6751429225799745,0.2075816048126059
MarketPulse TailGuard,0.08712558229421392,0.1082916499259551
