method,base_fund,tilted_fund,base_annual_return,tilted_annual_return,difference_annual_return,base_annual_volatility,tilted_annual_volatility,difference_annual_volatility,base_sharpe_ratio,tilted_sharpe_ratio,difference_sharpe_ratio,base_sortino_ratio,tilted_sortino_ratio,difference_sortino_ratio,base_cvar_95,tilted_cvar_95,difference_cvar_95,base_max_drawdown,tilted_max_drawdown,difference_max_drawdown,base_total_return,tilted_total_return,difference_total_return
Equal Weight,Equity Equal Weight,Sentiment Tilt Equal Weight,0.12643529221978822,0.10915486334656976,-0.017280428873218456,0.16166197477746672,0.1610081750837805,-0.0006537996936862023,0.8173873626510388,0.7239928350607743,-0.09339452759026456,1.1832171512015799,1.0443053586484938,-0.13891179255308606,0.022387917363557355,0.022242931634738793,-0.0001449857288185613,-0.20321862626913634,-0.207510398389383,-0.004291772120246673,0.4272603332576044,0.36282766848295567,-0.0644326647746487
Min Vol,Equity Min Vol,Sentiment Tilt Min Vol,0.057905811119540296,0.048674623699517694,-0.009231187420022602,0.12600577016561743,0.12583372695149864,-0.00017204321411878887,0.5097498688510786,0.4406036220305444,-0.06914624682053427,0.7256711056177493,0.6259777376050354,-0.09969336801271389,0.01748880176844476,0.01736828320640346,-0.0001205185620413024,-0.1561966553906241,-0.14546018745253697,0.010736467938087135,0.18317769122524408,0.15259452773200954,-0.030583163493234533
Tangency,Equity Tangency,Sentiment Tilt Equity,0.07258421890738043,0.06103061785973107,-0.011553601047649353,0.17607240490475204,0.17689868229642658,0.0008262773916745403,0.48615619271520044,0.42345394386654733,-0.06270224884865311,0.6790542235328101,0.5906675301058106,-0.08838669342699945,0.025091453095158114,0.0251602939764951,6.88408813369866e-05,-0.23198034782757782,-0.24800790296813158,-0.016027555140553762,0.23291157497114656,0.1936512700389459,-0.039260304932200674
Risk Parity,Equity Risk Parity,Sentiment Tilt Risk Parity,0.099733159326435,0.08494028703889156,-0.014792872287543446,0.14608787123757752,0.14587169684340942,-0.00021617439416810047,0.7238567161691828,0.631841260956576,-0.09201545521260679,1.0405469494874433,0.9042542310768291,-0.1362927184106142,0.02042017260201723,0.02037205843324557,-4.811416877166172e-05,-0.1855389198972942,-0.18708945798028076,-0.0015505380829865523,0.3285271825290179,0.27583940180532496,-0.052687780723692956
